Time,Pitch_Hz
0.041984,NA
0.051984,NA
0.061984,NA
0.071984,NA
0.081984,NA
0.091984,NA
0.101984,NA
0.111984,NA
0.121984,NA
0.131984,NA
0.141984,NA
0.151984,NA
0.161984,NA
0.171984,NA
0.181984,NA
0.191984,NA
0.201984,NA
0.211984,NA
0.221984,NA
0.231984,NA
0.241984,NA
0.251984,NA
0.261984,NA
0.271984,NA
0.281984,NA
0.291984,NA
0.301984,NA
0.311984,NA
0.321984,NA
0.331984,NA
0.341984,NA
0.351984,NA
0.361984,NA
0.371984,NA
0.381984,NA
0.391984,NA
0.401984,NA
0.411984,NA
0.421984,NA
0.431984,144.89
0.441984,140.52
0.451984,135.83
0.461984,NA
0.471984,NA
0.481984,NA
0.491984,NA
0.501984,NA
0.511984,NA
0.521984,NA
0.531984,NA
0.541984,NA
0.551984,NA
0.561984,NA
0.571984,NA
0.581984,NA
0.591984,NA
0.601984,582.93
0.611984,587.49
0.621984,NA
0.631984,NA
0.641984,142.14
0.651984,141.50
0.661984,139.80
0.671984,139.38
0.681984,138.25
0.691984,137.61
0.701984,136.31
0.711984,135.05
0.721984,134.51
0.731984,134.28
0.741984,134.70
0.751984,135.57
0.761984,135.57
0.771984,136.65
0.781984,137.65
0.791984,137.92
0.801984,139.62
0.811984,141.56
0.821984,144.92
0.831984,148.23
0.841984,153.15
0.851984,157.40
0.861984,173.82
0.871984,185.82
0.881984,189.20
0.891984,195.22
0.901984,203.85
0.911984,210.83
0.921984,220.13
0.931984,222.10
0.941984,227.55
0.951984,226.91
0.961984,227.32
0.971984,223.68
0.981984,226.76
0.991984,222.79
1.001984,213.93
1.011984,NA
1.021984,NA
1.031984,NA
1.041984,NA
1.051984,NA
1.061984,NA
1.071984,NA
1.081984,NA
1.091984,NA
1.101984,NA
1.111984,NA
1.121984,NA
1.131984,NA
1.141984,NA
1.151984,NA
1.161984,NA
1.171984,NA
1.181984,NA
1.191984,NA
1.201984,NA
1.211984,NA
1.221984,NA
1.231984,NA
1.241984,NA
1.251984,NA
