Time,Pitch_Hz
0.040000,NA
0.050000,192.58
0.060000,201.93
0.070000,199.97
0.080000,202.60
0.090000,202.50
0.100000,NA
0.110000,NA
0.120000,NA
0.130000,NA
0.140000,NA
0.150000,NA
0.160000,NA
0.170000,NA
0.180000,NA
0.190000,NA
0.200000,NA
0.210000,NA
0.220000,NA
0.230000,NA
0.240000,NA
0.250000,NA
0.260000,NA
0.270000,NA
0.280000,375.01
0.290000,366.82
0.300000,369.89
0.310000,NA
0.320000,NA
0.330000,364.42
0.340000,372.36
0.350000,373.23
0.360000,365.65
0.370000,NA
0.380000,NA
0.390000,NA
0.400000,NA
0.410000,NA
0.420000,NA
0.430000,NA
0.440000,NA
0.450000,NA
0.460000,146.53
0.470000,146.40
0.480000,144.95
0.490000,145.50
0.500000,146.48
0.510000,143.40
0.520000,143.10
0.530000,141.24
0.540000,140.75
0.550000,141.15
0.560000,142.98
0.570000,143.37
0.580000,142.86
0.590000,142.52
0.600000,141.47
0.610000,138.97
0.620000,138.62
0.630000,139.02
0.640000,137.85
0.650000,138.84
0.660000,139.67
0.670000,139.32
0.680000,138.76
0.690000,138.29
0.700000,137.66
0.710000,137.59
0.720000,137.77
0.730000,138.15
0.740000,137.60
0.750000,139.42
0.760000,NA
0.770000,NA
0.780000,NA
0.790000,NA
0.800000,NA
0.810000,NA
0.820000,NA
0.830000,NA
0.840000,NA
0.850000,NA
0.860000,NA
0.870000,NA
0.880000,NA
0.890000,NA
0.900000,NA
0.910000,NA
0.920000,136.51
0.930000,138.10
0.940000,138.30
0.950000,138.34
0.960000,138.21
0.970000,137.43
0.980000,137.36
0.990000,136.80
1.000000,135.82
1.010000,135.35
1.020000,135.33
1.030000,NA
1.040000,NA
1.050000,NA
1.060000,545.08
1.070000,546.40
1.080000,NA
1.090000,NA
1.100000,NA
1.110000,108.90
1.120000,108.11
1.130000,106.28
1.140000,102.27
1.150000,97.00
1.160000,100.31
1.170000,104.28
1.180000,106.58
1.190000,109.20
1.200000,111.48
1.210000,113.72
1.220000,115.52
1.230000,121.86
1.240000,127.22
1.250000,128.73
1.260000,NA
1.270000,NA
1.280000,NA
1.290000,NA
1.300000,NA
1.310000,NA
1.320000,NA
1.330000,NA
1.340000,NA
1.350000,NA
1.360000,NA
1.370000,NA
1.380000,NA
1.390000,NA
1.400000,NA
1.410000,NA
1.420000,NA
1.430000,NA
1.440000,77.99
1.450000,79.56
1.460000,NA
1.470000,NA
1.480000,NA
1.490000,NA
1.500000,NA
1.510000,NA
1.520000,NA
1.530000,NA
1.540000,NA
1.550000,NA
1.560000,NA
1.570000,NA
1.580000,NA
1.590000,NA
1.600000,NA
1.610000,NA
1.620000,NA
1.630000,NA
1.640000,NA
1.650000,NA
1.660000,NA
1.670000,NA
1.680000,NA
